"PERMAID","DAYID","USECROSSWALK","USEROAD","NS","EW"
"648","310","0","0","1","0"
"649","311","0","0","1","0"
"650","312","0","0","0","0"
"651","313","0","0","1","0"
"652","314","0","0","0","0"
"653","315","0","0","1","0"
"654","316","0","0","1","0"
"655","317","0","0","0","0"
"656","318","0","0","0","0"
"657","319","1","1","0","0"
"658","320","0","0","1","0"
"659","321","0","1","1","0"
"660","322","0","0","0","0"
"661","323","0","0","1","0"
"662","324","0","1","1","0"
"663","325","0","0","0","0"
"664","326","0","0","0","1"
"665","327","0","0","0","1"
"666","328","0","0","0","1"
"667","329","0","0","1","1"
"668","330","0","0","1","0"
"669","331","0","0","0","1"
"670","332","0","0","1","0"
"671","333","0","0","1","0"
"672","334","0","0","1","1"
"673","335","0","0","1","0"
"674","336","0","0","1","0"
"675","337","0","0","1","1"
"676","338","0","0","0","0"
"677","339","0","0","0","0"
"678","340","0","0","0","0"
"679","341","0","0","1","0"
"680","342","0","0","0","0"
"681","343","0","0","0","0"
"682","344","0","0","0","1"
"683","345","0","0","0","0"
"684","346","0","0","0","0"
"685","347","0","0","1","0"
"686","348","0","1","0","1"
"687","349","0","0","0","1"
"688","350","0","0","0","1"
"689","351","0","0","1","0"
"690","352","0","0","1","0"
"691","353","0","0","0","0"
"692","354","1","1","1","0"
"693","355","0","0","1","0"
"694","356","0","0","1","0"
"695","357","0","0","0","0"
"696","358","0","0","0","0"
"697","359","0","0","1","0"
"698","360","0","0","1","0"
"699","361","0","0","1","0"
"700","362","0","0","0","1"
"701","363","0","0","1","0"
"702","364","0","0","1","1"
"703","365","0","0","1","0"
"704","366","1","1","0","0"
"705","367","0","0","0","1"
"706","368","0","0","0","1"
"707","369","0","0","1","0"
"708","370","0","0","1","0"
"709","371","0","0","1","0"
"710","372","0","0","0","0"
"711","373","0","0","1","1"
"712","374","0","0","1","1"
"713","375","0","0","1","0"
"714","376","0","0","0","0"
"715","377","0","0","0","0"
"716","378","0","0","1","1"
"717","379","0","0","1","1"
"718","380","0","0","0","0"
"719","381","0","1","1","0"
"720","382","1","1","1","0"
"721","383","0","1","1","0"
"722","384","0","0","0","0"
"723","385","0","0","1","0"
"724","386","0","1","1","0"
"725","387","0","0","0","0"
"726","388","0","0","1","0"
"727","389","0","1","1","0"
"728","390","1","1","1","0"
"729","391","0","0","0","1"
"730","392","0","0","0","1"
"731","393","0","1","1","0"
"732","394","0","1","1","0"
"733","395","0","0","1","0"
"734","396","0","0","0","1"
"735","397","0","0","0","1"
"736","398","0","0","0","1"
"737","399","0","0","0","1"
"738","400","1","1","1","0"
"739","401","0","1","0","1"
"740","402","0","0","1","0"
"741","403","0","0","1","0"
"742","404","0","0","1","1"
"743","405","0","0","1","1"
"744","406","1","1","1","0"
"745","407","1","1","1","0"
"746","408","0","1","0","0"
"747","409","1","1","0","0"
"748","410","1","1","0","0"
"749","411","0","1","0","0"
"750","1","0","0","1","1"
"751","2","0","0","0","1"
"752","3","1","1","0","1"
"753","4","0","0","0","1"
"754","5","1","1","1","1"
"755","6","0","1","0","1"
"756","7","0","0","0","0"
"757","8","0","1","0","1"
"758","9","0","0","1","0"
"759","10","0","1","1","1"
"760","11","0","1","1","1"
"761","12","0","0","1","1"
"762","13","0","0","1","1"
"763","14","0","0","0","1"
"764","15","0","0","1","0"
"765","16","0","0","0","1"
"766","17","0","0","0","1"
"767","18","0","1","1","1"
"768","19","0","0","1","0"
"769","20","0","0","0","1"
"770","21","0","0","1","0"
"771","22","0","0","0","1"
"772","23","0","0","1","0"
"773","24","0","1","0","0"
"774","25","0","0","0","0"
"775","26","0","0","0","1"
"776","27","1","1","0","0"
"777","28","0","1","0","0"
"778","29","0","0","0","1"
"779","30","0","0","0","1"
"780","31","0","0","0","1"
"781","32","0","0","0","1"
"782","33","0","0","0","0"
"783","34","0","0","0","0"
"784","35","0","0","0","0"
"785","36","1","1","0","1"
"786","37","0","0","0","1"
"787","38","0","0","0","1"
"788","39","0","1","0","1"
"789","40","0","0","0","0"
"790","41","1","1","0","1"
"792","43","0","0","0","0"
"793","44","0","0","0","1"
"794","45","0","0","0","1"
"795","46","0","0","1","1"
"796","47","0","0","1","1"
"797","48","0","0","0","1"
"798","49","0","0","0","1"
"799","50","0","0","0","1"
"800","51","0","0","0","1"
"801","52","0","0","0","1"
"802","53","0","0","1","1"
"803","54","0","0","0","0"
"804","55","1","1","0","1"
"805","56","0","0","0","0"
"806","57","0","0","1","1"
"807","58","1","1","1","1"
"808","59","0","1","0","1"
"809","60","0","0","0","1"
"810","61","0","1","0","1"
"811","62","0","1","0","1"
"812","63","1","1","0","1"
"813","64","0","0","0","1"
"814","65","0","0","0","1"
"815","66","0","0","0","1"
"816","67","0","1","0","1"
"817","68","0","0","0","1"
"818","69","0","0","0","1"
"819","70","0","0","0","1"
"820","71","0","0","1","1"
"821","72","0","0","0","1"
"822","73","1","1","0","1"
"823","74","0","1","0","1"
"824","75","0","0","1","1"
"825","76","0","0","0","1"
"826","77","0","1","0","1"
"827","78","0","0","1","0"
"828","79","0","0","1","0"
"829","80","0","0","0","1"
"830","81","0","0","1","1"
"831","82","0","0","1","1"
"832","83","0","0","0","0"
"833","84","0","0","0","0"
"834","85","0","0","1","0"
"835","86","1","1","0","0"
"836","87","0","0","0","0"
"837","88","0","0","1","0"
"838","89","0","0","1","0"
"839","90","0","0","0","0"
"840","91","0","1","1","1"
"841","92","0","0","0","1"
"842","93","0","0","1","1"
"843","94","1","1","0","1"
"844","95","0","0","1","0"
"845","96","0","0","0","0"
"846","97","0","0","0","0"
"847","98","0","0","0","1"
"848","99","0","0","1","0"
"849","100","0","0","1","0"
"850","101","0","0","1","0"
"851","102","0","0","0","0"
"852","103","0","0","1","0"
"853","104","0","1","0","1"
"854","105","0","0","0","1"
"855","106","0","1","1","1"
"856","107","0","0","1","0"
"857","108","0","0","0","1"
"858","109","0","0","0","0"
"859","110","0","0","0","0"
"860","111","0","0","0","1"
"861","112","0","0","0","1"
"862","113","0","0","1","1"
"863","114","0","0","1","0"
"864","115","0","1","0","1"
"865","116","0","0","0","1"
"866","117","0","0","1","1"
"867","118","0","0","1","0"
"868","119","0","0","0","0"
"869","120","0","0","0","0"
"870","121","0","1","0","1"
"871","122","1","1","0","1"
"872","123","1","1","1","0"
"873","124","0","1","1","0"
"874","125","1","1","1","0"
"875","126","1","1","1","0"
"876","127","0","0","1","0"
"877","128","0","0","1","0"
"878","129","0","1","1","0"
"879","130","1","1","0","0"
"880","131","1","1","1","0"
"881","132","1","1","1","0"
"882","133","0","1","1","0"
"883","134","0","0","0","0"
"884","135","0","1","0","0"
"885","136","0","0","1","1"
"886","137","0","0","1","0"
"887","138","0","1","1","0"
"888","139","0","0","0","0"
"889","140","0","0","1","0"
"890","141","0","1","1","0"
"891","142","1","1","0","0"
"892","143","1","1","1","0"
"893","144","0","0","1","0"
"894","145","1","1","1","0"
"895","146","1","1","1","0"
"896","147","0","0","0","0"
"897","148","0","1","1","0"
"898","149","0","0","0","0"
"899","150","0","0","1","0"
"900","151","0","0","1","0"
"901","152","0","0","1","0"
"902","153","0","1","1","0"
"903","154","0","0","0","0"
"904","155","0","1","0","1"
"905","156","1","1","1","0"
"906","157","0","1","1","0"
"907","158","0","0","0","1"
"908","159","0","0","0","1"
"909","160","0","0","0","1"
"910","161","0","0","0","0"
"911","162","0","0","0","1"
"912","163","0","0","0","1"
"913","164","0","0","1","0"
"914","165","0","0","0","1"
"915","166","0","0","1","0"
"916","167","0","0","1","0"
"917","168","0","1","1","0"
"918","169","0","0","1","0"
"919","170","0","0","0","1"
"920","171","0","0","0","0"
"921","172","1","1","1","1"
"922","173","0","1","0","1"
"923","174","0","0","1","0"
"924","175","0","0","0","0"
"925","176","0","0","0","0"
"926","177","1","1","0","1"
"927","178","0","0","0","0"
"928","179","0","0","0","1"
"929","180","0","0","0","1"
"930","181","1","1","0","1"
"931","182","1","1","1","0"
"932","183","0","0","0","0"
"933","184","0","1","0","1"
"934","185","0","0","0","1"
"935","186","0","0","1","0"
"936","187","0","0","1","0"
"937","188","1","1","1","0"
"938","189","1","1","1","0"
"939","190","0","0","1","0"
"940","191","0","0","1","1"
"941","192","0","0","1","0"
"942","193","0","0","0","0"
"943","194","0","0","0","0"
"944","195","0","1","0","0"
"945","196","0","1","0","0"
"946","197","0","1","1","1"
"947","198","0","0","1","0"
"948","199","0","0","0","0"
"950","201","0","0","0","1"
"951","202","0","1","1","1"
"952","203","0","0","1","0"
"953","204","0","0","1","0"
"954","205","0","0","0","1"
"955","206","0","0","0","1"
"956","207","0","0","0","0"
"957","208","0","0","1","0"
"958","209","0","1","1","1"
"959","210","0","0","1","1"
"960","211","0","0","1","1"
"961","212","0","0","1","0"
"962","213","1","1","1","0"
"963","214","0","0","0","1"
"964","215","0","0","0","1"
"965","216","0","0","1","1"
"966","217","0","0","1","1"
"967","218","1","1","0","1"
"968","219","0","0","1","1"
"969","220","0","1","1","1"
"970","221","0","0","0","1"
"971","222","1","1","0","0"
"972","223","1","1","0","0"
"973","224","0","0","0","0"
"974","225","0","0","1","0"
"975","226","0","0","0","0"
"976","227","1","1","1","1"
"977","228","0","1","1","0"
"978","229","0","0","1","0"
"979","230","0","0","0","1"
"980","231","0","0","0","1"
"981","232","0","1","1","0"
"982","233","0","0","0","1"
"983","234","0","1","1","1"
"984","235","0","0","1","0"
"985","236","0","0","1","0"
"986","237","0","0","1","0"
"987","238","0","0","0","1"
"988","239","1","1","1","0"
"989","240","0","0","0","0"
"990","241","1","1","1","0"
"991","242","0","0","0","0"
"992","243","0","0","1","0"
"993","244","0","0","0","0"
"994","245","0","0","0","0"
"995","246","0","1","0","1"
"996","247","0","0","0","0"
"997","248","0","0","0","0"
"998","249","0","1","0","1"
"999","250","0","0","0","0"
"1000","251","0","0","1","1"
